agegroup_civilstate,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621,0.003621
20,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347,0.021347
25,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918,0.025918
30,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424,0.026424
35,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564
40,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293,0.021293
45,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003
50,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666,0.007666
