agegroup_work,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.112912,0.112912,0.113004,0.113276,0.105663,0.10615,0.106963,0.101479,0.09376,0.091611,0.091869,0.092511,0.093834,0.095305,0.096137,0.096792,0.097591,0.098483,0.099237,0.099384,0.099993,0.101102,0.102114,0.103104,0.103792,0.104517,0.10534,0.105928,0.106479,0.106994,0.107369,0.107503,0.107447,0.107319,0.107318,0.107418,0.107505,0.107593,0.107673,0.107745,0.107816,0.107885,0.107931,0.107913,0.107834,0.107725,0.107601,0.107478,0.107361,0.107257,0.107175,0.107106,0.107053,0.107019,0.106998,0.106991,0.106995,0.107014,0.107037
20,0.491954,0.491954,0.49454,0.497168,0.488885,0.488695,0.494047,0.471313,0.443613,0.435404,0.439379,0.445971,0.453721,0.459987,0.462488,0.463314,0.4647,0.467961,0.47251,0.475728,0.478693,0.481416,0.483354,0.484395,0.48492,0.486436,0.488656,0.490415,0.491974,0.493041,0.494116,0.495181,0.495851,0.496342,0.49667,0.496574,0.496042,0.495406,0.494909,0.494786,0.494896,0.494989,0.495041,0.495042,0.495038,0.495067,0.495098,0.495048,0.494868,0.49458,0.494245,0.493876,0.493504,0.493168,0.492879,0.492642,0.492475,0.492417,0.492434
25,0.738339,0.738339,0.739914,0.745629,0.744343,0.746225,0.755471,0.747312,0.732488,0.726628,0.728865,0.732608,0.737827,0.742876,0.746567,0.7501,0.753991,0.758475,0.763595,0.767643,0.771291,0.774633,0.777707,0.780527,0.783098,0.785427,0.787487,0.789228,0.790742,0.79208,0.793372,0.794449,0.795243,0.795796,0.796093,0.796158,0.796141,0.796167,0.796219,0.796279,0.796309,0.796288,0.796243,0.796195,0.796179,0.796177,0.796149,0.796063,0.79595,0.795824,0.795689,0.795533,0.795365,0.795202,0.79505,0.794902,0.794793,0.794752,0.794764
30,0.743859,0.743859,0.749315,0.758342,0.760047,0.763359,0.772965,0.768657,0.758945,0.754554,0.756274,0.759103,0.763141,0.76699,0.769691,0.772263,0.775117,0.77854,0.782668,0.786095,0.789206,0.792013,0.79451,0.796744,0.798781,0.800637,0.802289,0.803707,0.804935,0.805941,0.806791,0.807503,0.808087,0.808534,0.808876,0.80908,0.809204,0.809326,0.809433,0.809541,0.809606,0.809631,0.80962,0.809581,0.809529,0.809483,0.809431,0.809343,0.809241,0.809145,0.809028,0.808888,0.808733,0.808575,0.808422,0.808268,0.808139,0.808065,0.808024
35,0.733771,0.733771,0.740491,0.749979,0.757962,0.767243,0.779394,0.776907,0.772481,0.767901,0.769517,0.771169,0.774858,0.778481,0.781143,0.783569,0.786105,0.789004,0.792407,0.795179,0.797686,0.799951,0.802059,0.804098,0.806044,0.807825,0.8094,0.810679,0.811714,0.812581,0.813366,0.813979,0.814418,0.814722,0.814854,0.814808,0.814726,0.814738,0.814873,0.815105,0.815356,0.815552,0.815679,0.815743,0.815783,0.815778,0.815747,0.815674,0.815565,0.815432,0.815282,0.815134,0.814984,0.81485,0.814719,0.814586,0.814467,0.814382,0.814324
40,0.714107,0.714107,0.721796,0.732501,0.738334,0.748997,0.763112,0.763168,0.760562,0.762817,0.768008,0.773935,0.778898,0.78288,0.783618,0.785224,0.786367,0.789076,0.792417,0.795201,0.797604,0.799673,0.80145,0.803004,0.804448,0.805779,0.806949,0.808001,0.809047,0.810012,0.810878,0.811598,0.812103,0.812369,0.812486,0.812494,0.812408,0.812337,0.812307,0.812267,0.81219,0.812113,0.812107,0.812192,0.812384,0.812612,0.812793,0.812887,0.812909,0.812888,0.812799,0.812683,0.81255,0.812394,0.812225,0.812055,0.811913,0.811822,0.81177
45,0.655428,0.655428,0.669569,0.682707,0.694256,0.707448,0.724414,0.730717,0.731254,0.734662,0.742229,0.749838,0.757067,0.763921,0.771082,0.775984,0.781043,0.784838,0.788422,0.789225,0.790887,0.791733,0.793569,0.795375,0.797063,0.798455,0.799579,0.800427,0.801045,0.801557,0.802028,0.802391,0.802703,0.803061,0.803375,0.803567,0.803701,0.803774,0.803775,0.803777,0.803791,0.803724,0.803611,0.803503,0.80337,0.803214,0.803074,0.803024,0.803075,0.803232,0.803406,0.80353,0.803594,0.803586,0.803542,0.803441,0.803337,0.803261,0.803182
50,0.52202,0.52202,0.542728,0.558708,0.572599,0.585145,0.602013,0.615365,0.614641,0.618442,0.627433,0.636926,0.647078,0.657164,0.66517,0.672593,0.679617,0.686359,0.693647,0.701394,0.706873,0.711987,0.715308,0.717864,0.718397,0.719892,0.720718,0.722307,0.723726,0.724884,0.725728,0.72628,0.726564,0.726628,0.726636,0.726554,0.726421,0.7264,0.726554,0.726789,0.726988,0.727087,0.727021,0.726856,0.726788,0.72683,0.726812,0.726667,0.726475,0.726269,0.726032,0.725804,0.725691,0.725733,0.725923,0.726087,0.726174,0.726256,0.726302
